,organizationName,name,startsOn,benefitNames,location,description,imagePath
0,Kinesiology and Applied Physiology (Graduate Student Organization),KAP GSO End of Semester Cookout,2023-05-18 19:00:00+00:00,Free Food,Loree Gymnasium Parking Lot (behind building),"Join the KAP GSO in celebrating the end of another year behind Loree Gym. We will grill, have games, and just relax. We recommend bringing your own folding chair. We will begin setting up at 3pm and probably have food ready about an hour after.",https://se-images.campuslabs.com/clink/images/163d39e3-aa7a-4f60-a1cb-bbb3484dac3f37698f8d-59e2-4d7c-9c3d-6e5313a5fa06.png
1,Rutgers Graduate Christian Fellowship (Graduate Organization),Rutgers GCF End of Semester Pic Nic ,2023-05-19 15:30:00+00:00,Free Food,Rutgers Gardens,"Join us on a visit to Rutgers Gardens on Friday, May 19th from11:30am-2:30pm. We will wind down and celebrate the end of the semester, enjoying food and the beautiful scenery! Meet us in the lot on log cabin road ( see address)!Please RSVP by Thursday at noonru.graduate.christian@gmail.comto let us know you are coming and if you need a ride!",https://se-images.campuslabs.com/clink/images/ace8a409-d196-4a54-9d4c-c408a0247be0da884a54-0ef2-4a20-aded-1de6d2445cc2.png
2,Chemistry and Chemical Biology (Graduate Student Organization),CCB-GSO End of Year BBQ,2023-05-25 18:00:00+00:00,Free Food,CCB Lawn,Come enjoy some BBQ with your peers as we celebrate the end of the semester.,https://se-images.campuslabs.com/clink/images/85c9da65-a410-46aa-97b6-da2569154ff5c02c0d1e-afc8-4ec1-aeb6-25a142eef7f9.png
3,Rutgers Seeding Labs (Graduate Organization),MBGSO x Rutgers Seeding Labs Korean BBQ Party,2023-05-25 20:30:00+00:00,Free Food,RWJMS Research Tower Patio,"Celebrate the end of the spring semester with MBGSO and Rutgers Seeding Labs. Join us to make your own Korean BBQ bowl, sip bubble tea and play some lawn games with your friends! In the event of rain, we will hold it in theDean's Conference Room 123.All grad students, postdocs and faculty are welcome to attend! Please RSVP.",https://se-images.campuslabs.com/clink/images/fefc8477-3077-40e9-a67c-83561c3e86ca2bc253e7-6faf-4e23-97a3-f9d954962d28.png
4,Society of Physics Students,Welcome to SPS,2023-09-07 00:00:00+00:00,Free Food,Serin 330,Come out to Room 330 in the Physics building to say hi to other physics majors and learn about SPS! Pizza will be provided!,
5,Hillel (Rutgers),Mishmar,2023-09-07 23:00:00+00:00,Free Food,Rutgers Hillel,Jewish learning event open to anyone with student speakers,
6,Catholic Student Association,Luau,2023-09-08 16:00:00+00:00,Free Food,Catholic Center,A fun time to wear leis eat pulled pork and laugh with good people! Come by!,
7,Geology Club,Geology Club - General Interest Meeting Fall 2023,2023-09-12 23:00:00+00:00,Free Food,Room 231 Wright Rieman Laboratories,"Welcome to the Geology Club! We are holding a General Interest Meeting in Room 231 of Wright Rieman Laboratories on Busch campus on Tuesday, September 12th at 7:00pm.Learn about all of the fun trips and cool events our club holds throughout the year, such as Grad Night, Career Night, trips to the Sterling Hill Mine Museum and other local geological spots. We also get involved in events with the Department of Earth and Planetary Sciences like the Oktoberfest, Holiday Party and more!We'll go on hiking trips, hold educational lectures, and bring students to the sectional and national GSA meetings to be exposed to the earth sciences!",https://se-images.campuslabs.com/clink/images/91d82464-75a8-4d99-9411-013e1b2298e3b03825ba-6863-4e10-8470-4498a8d4113e.png
8,Amnesty International (Rutgers) ,Amnesty Introduction Meeting,2023-09-12 23:30:00+00:00,Free Food,TBA,"The first general meeting of Rutgers Amnesty, where we will discuss the opportunities, events, and meetings planned for the upcoming fall semester! We will be introducing the eboard and what Amnesty International stands for and the work that is currently being undertaken for human rights.",https://se-images.campuslabs.com/clink/images/d6cf64ae-3008-458b-afaa-e88ecf2319f5d568617e-6ec4-46ed-b37d-642b5fe4ee9d.png
9,Prescription Drug Abuse and Overprescription Awareness Organization of Rutgers ,General Interest Meeting,2023-09-13 00:00:00+00:00,"Free Food, Free Stuff",TBD - likely BSC 115,"Join us for our 1st meeting of the 2023-2024 Academic Year! We are looking forward to meeting new and returning members for an exciting night of discussion, games and pizza. There will be prizes involved for the winners of our trivia.",https://se-images.campuslabs.com/clink/images/adcaf4b7-c853-4bc6-93d5-3e270b887f4895f9d7f9-0987-4978-ac14-226dbf4ea651.png
